Country,Year,Subtype,Observed
Pakistan,2015,H1p09,84
Pakistan,2015,H3,29
Pakistan,2015,A,114
Cambodia,2016,H1,0
Cambodia,2016,H1p09,176
Cambodia,2016,H3,48
Cambodia,2016,A,224
Cambodia,2017,H1,0
Cambodia,2017,H1p09,9
Cambodia,2017,H3,3
Cambodia,2017,A,12
Egypt,2016,H1,0
Egypt,2016,H1p09,834
Egypt,2016,H3,445
Egypt,2016,A,1314
Egypt,2017,H1,0
Egypt,2017,H1p09,835
Egypt,2017,H3,480
Egypt,2017,A,1356
Indonesia,2016,H1,0
Indonesia,2016,H1p09,173
Indonesia,2016,H3,395
Indonesia,2016,A,568
Indonesia,2017,H1,0
Indonesia,2017,H1p09,2
Indonesia,2017,H3,13
Indonesia,2017,A,15
Vietnam,2016,H1,0
Vietnam,2016,H1p09,159
Vietnam,2016,H3,120
Vietnam,2016,A,279
Vietnam,2017,H1,0
Vietnam,2017,H1p09,73
Vietnam,2017,H3,2
Vietnam,2017,A,75
Thailand,2016,H1,0
Thailand,2016,H1p09,333
Thailand,2016,H3,275
Thailand,2016,A,620
Thailand,2017,H1,0
Thailand,2017,H1p09,46
Thailand,2017,H3,72
Thailand,2017,A,118
UK,2016,H1,0
UK,2016,H1p09,3599
UK,2016,H3,1263
UK,2016,A,12426
UK,2017,H1,0
UK,2017,H1p09,13
UK,2017,H3,2927
UK,2017,A,9102
Bangladesh,2016,H1,0
Bangladesh,2016,H1p09,14
Bangladesh,2016,H3,389
Bangladesh,2016,A,403
Bangladesh,2017,H1,0
Bangladesh,2017,H1p09,123
Bangladesh,2017,H3,26
Bangladesh,2017,A,149
Iraq,2016,H1,0
Iraq,2016,H1p09,126
Iraq,2016,H3,30
Iraq,2016,A,156
Iraq,2017,H1,0
Iraq,2017,H1p09,7
Iraq,2017,H3,0
Iraq,2017,A,7
USA,2016,H1,0
USA,2016,H1p09,15170
USA,2016,H3,8900
USA,2016,A,80871
USA,2017,H1,0
USA,2017,H1p09,731
USA,2017,H3,25509
USA,2017,A,104907
USA,1997,H1,0
USA,1997,H1p09,0
USA,1997,H3,1001
USA,1997,A,2089
USA,1998,H1,4
USA,1998,H1p09,0
USA,1998,H3,419
USA,1998,A,1696
USA,1999,H1,9
USA,1999,H1p09,0
USA,1999,H3,2209
USA,1999,A,8934
USA,2000,H1,476
USA,2000,H1p09,0
USA,2000,H3,22
USA,2000,A,1058
USA,2001,H1,1486
USA,2001,H1p09,0
USA,2001,H3,468
USA,2001,A,5113
USA,2002,H1,152
